,fc,fl
690,0.01,0.29
691,0.01,0.28
692,0.01,0.28
693,0.01,0.28
694,0.01,0.28
695,0.01,0.28
696,0.01,0.27
697,0.01,0.27
698,0.01,0.27
699,0.01,0.27
700,0.01,0.27
701,0.01,0.27
702,0.01,0.27
703,0.01,0.27
704,0.01,0.27
705,0.01,0.27
706,0.01,0.27
707,0.01,0.27
708,0.01,0.27
709,0.01,0.27
710,0.01,0.27
711,0.01,0.27
712,0.01,0.27
713,0.01,0.27
714,0.01,0.26
715,0.01,0.26
716,0.01,0.26
717,0.01,0.26
718,0.01,0.26
719,0.01,0.26
720,0.01,0.26
721,0.01,0.26
722,0.01,0.26
723,0.01,0.26
724,0.01,0.26
725,0.01,0.26
726,0.01,0.26
727,0.01,0.26
728,0.01,0.26
729,0.01,0.26
730,0.01,0.26
731,0.01,0.27
732,0.01,0.26
733,0.01,0.26
734,0.01,0.26
735,0.01,0.26
736,0.01,0.26
737,0.01,0.26
738,0.01,0.26
739,0.01,0.26
740,0.01,0.26
741,0.01,0.26
742,0.01,0.26
743,0.01,0.26
744,0.01,0.26
745,0.01,0.26
746,0.01,0.26
747,0.01,0.26
748,0.01,0.26
749,0.01,0.26
750,0.01,0.26
751,0.01,0.26
752,0.01,0.27
753,0.01,0.26
754,0.01,0.26
755,0.01,0.26
756,0.01,0.26
757,0.01,0.26
758,0.01,0.26
759,0.01,0.26
760,0.01,0.26
761,0.01,0.26
762,0.01,0.26
763,0.01,0.26
764,0.01,0.26
765,0.01,0.26
766,0.01,0.26
767,0.01,0.26
768,0.01,0.26
769,0.01,0.26
770,0.01,0.26
771,0.01,0.26
772,0.01,0.26
773,0.01,0.26
774,0.01,0.26
775,0.01,0.26
776,0.01,0.26
777,0.01,0.27
778,0.01,0.27
779,0.01,0.27
780,0.01,0.26
781,0.02,0.25
782,0.02,0.26
783,0.02,0.26
784,0.02,0.26
785,0.02,0.27
786,0.02,0.27
787,0.02,0.27
788,0.02,0.26
789,0.02,0.26
790,0.02,0.25
791,0.02,0.25
792,0.02,0.25
793,0.02,0.25
794,0.02,0.25
795,0.02,0.25
796,0.02,0.25
797,0.02,0.25
798,0.02,0.25
799,0.02,0.25
800,0.02,0.25
801,0.02,0.26
802,0.02,0.26
803,0.02,0.26
804,0.02,0.26
805,0.02,0.26
806,0.02,0.26
807,0.02,0.26
808,0.02,0.26
809,0.02,0.26
810,0.02,0.26
811,0.02,0.25
812,0.03,0.24
813,0.03,0.24
814,0.03,0.24
815,0.03,0.24
816,0.03,0.24
817,0.03,0.24
818,0.03,0.24
819,0.03,0.24
820,0.03,0.24
821,0.03,0.24
822,0.03,0.24
823,0.03,0.24
824,0.03,0.24
825,0.03,0.23
826,0.03,0.23
827,0.03,0.23
828,0.03,0.23
829,0.03,0.23
830,0.03,0.23
831,0.03,0.23
832,0.03,0.23
833,0.03,0.23
834,0.03,0.23
835,0.03,0.23
836,0.03,0.23
837,0.03,0.23
838,0.03,0.23
839,0.03,0.24
840,0.03,0.24
841,0.03,0.23
842,0.03,0.23
843,0.03,0.23
844,0.03,0.22
845,0.03,0.22
846,0.03,0.22
847,0.03,0.22
848,0.03,0.22
849,0.03,0.22
850,0.03,0.22
851,0.03,0.22
852,0.03,0.22
853,0.03,0.22
854,0.03,0.22
855,0.03,0.22
856,0.03,0.23
857,0.03,0.23
858,0.03,0.23
859,0.03,0.23
860,0.03,0.23
861,0.03,0.23
862,0.03,0.23
863,0.03,0.23
864,0.03,0.23
865,0.03,0.23
866,0.03,0.23
867,0.03,0.23
868,0.03,0.23
869,0.03,0.23
870,0.03,0.23
871,0.03,0.23
872,0.03,0.23
873,0.03,0.23
874,0.03,0.23
875,0.03,0.23
876,0.03,0.23
877,0.03,0.23
878,0.03,0.23
879,0.03,0.23
880,0.03,0.23
881,0.03,0.23
882,0.03,0.23
883,0.03,0.23
884,0.03,0.23
885,0.03,0.23
886,0.03,0.24
887,0.03,0.25
888,0.03,0.25
889,0.03,0.25
890,0.03,0.25
891,0.03,0.25
892,0.03,0.25
893,0.03,0.25
894,0.03,0.25
895,0.03,0.25
896,0.03,0.25
897,0.03,0.25
898,0.03,0.25
899,0.03,0.25
900,0.03,0.25
901,0.03,0.25
902,0.02,0.25
903,0.02,0.25
904,0.02,0.25
905,0.02,0.25
906,0.02,0.25
907,0.02,0.25
908,0.02,0.25
909,0.02,0.25
910,0.02,0.25
911,0.02,0.25
912,0.02,0.25
913,0.02,0.25
914,0.02,0.25
915,0.02,0.24
916,0.02,0.24
917,0.02,0.24
918,0.02,0.24
919,0.02,0.24
920,0.02,0.24
921,0.02,0.24
922,0.02,0.24
923,0.02,0.24
924,0.02,0.24
925,0.02,0.24
926,0.02,0.24
927,0.02,0.24
928,0.02,0.24
929,0.02,0.24
930,0.02,0.24
931,0.02,0.23
932,0.02,0.23
933,0.02,0.23
934,0.02,0.23
935,0.02,0.23
936,0.02,0.23
937,0.02,0.23
938,0.02,0.23
939,0.02,0.23
940,0.02,0.23
941,0.02,0.23
942,0.02,0.23
943,0.02,0.23
944,0.02,0.23
945,0.02,0.23
946,0.02,0.23
947,0.02,0.23
948,0.02,0.24
949,0.02,0.24
950,0.02,0.24
951,0.02,0.24
952,0.02,0.24
953,0.02,0.24
954,0.02,0.24
955,0.02,0.23
956,0.02,0.23
957,0.02,0.23
958,0.02,0.23
959,0.02,0.23
960,0.02,0.23
961,0.02,0.23
962,0.02,0.22
963,0.02,0.21
964,0.02,0.21
965,0.02,0.21
966,0.02,0.21
967,0.02,0.21
968,0.02,0.21
969,0.02,0.21
970,0.02,0.2
971,0.02,0.2
972,0.02,0.2
973,0.02,0.2
974,0.02,0.2
975,0.02,0.19
976,0.02,0.19
977,0.02,0.19
978,0.02,0.19
979,0.02,0.19
980,0.02,0.19
981,0.02,0.19
982,0.02,0.19
983,0.02,0.19
984,0.02,0.19
985,0.02,0.19
986,0.02,0.18
987,0.02,0.18
988,0.02,0.18
989,0.02,0.18
990,0.02,0.18
991,0.02,0.18
992,0.02,0.18
993,0.02,0.18
994,0.02,0.18
995,0.02,0.18
996,0.02,0.18
997,0.02,0.18
998,0.02,0.18
999,0.02,0.18
1000,0.02,0.18
1001,0.02,0.18
1002,0.02,0.18
1003,0.02,0.17
1004,0.02,0.17
1005,0.02,0.17
1006,0.02,0.17
1007,0.02,0.17
1008,0.02,0.17
1009,0.02,0.17
1010,0.02,0.17
1011,0.02,0.17
1012,0.02,0.18
1013,0.02,0.18
1014,0.02,0.17
1015,0.02,0.17
1016,0.02,0.17
1017,0.02,0.17
1018,0.02,0.17
1019,0.02,0.18
1020,0.02,0.18
1021,0.02,0.18
1022,0.02,0.18
1023,0.02,0.18
1024,0.02,0.18
1025,0.02,0.18
1026,0.02,0.18
1027,0.02,0.18
1028,0.02,0.18
1029,0.02,0.18
1030,0.02,0.18
1031,0.02,0.18
1032,0.02,0.18
1033,0.02,0.18
1034,0.02,0.18
1035,0.02,0.18
1036,0.02,0.18
1037,0.02,0.18
1038,0.02,0.18
1039,0.02,0.18
1040,0.02,0.18
1041,0.02,0.18
1042,0.02,0.18
1043,0.02,0.18
1044,0.02,0.18
1045,0.02,0.18
1046,0.02,0.18
1047,0.02,0.18
1048,0.02,0.18
1049,0.02,0.18
1050,0.02,0.18
1051,0.02,0.18
1052,0.02,0.18
1053,0.02,0.18
1054,0.02,0.18
1055,0.02,0.18
1056,0.02,0.18
1057,0.02,0.18
1058,0.02,0.19
1059,0.02,0.19
1060,0.02,0.19
1061,0.03,0.18
1062,0.03,0.18
1063,0.03,0.18
1064,0.03,0.18
1065,0.03,0.18
1066,0.03,0.18
1067,0.03,0.18
1068,0.03,0.18
1069,0.03,0.18
1070,0.03,0.18
1071,0.03,0.18
1072,0.03,0.18
1073,0.03,0.18
1074,0.03,0.18
1075,0.03,0.17
1076,0.03,0.17
1077,0.03,0.17
1078,0.03,0.17
1079,0.03,0.17
1080,0.03,0.17
1081,0.03,0.17
1082,0.03,0.17
1083,0.03,0.17
1084,0.03,0.17
1085,0.03,0.17
1086,0.03,0.17
1087,0.03,0.17
1088,0.03,0.17
1089,0.03,0.17
1090,0.03,0.16
1091,0.03,0.17
1092,0.03,0.17
1093,0.03,0.17
1094,0.03,0.17
1095,0.03,0.18
1096,0.03,0.18
1097,0.03,0.18
1098,0.03,0.18
1099,0.03,0.18
1100,0.03,0.18
1101,0.03,0.18
1102,0.03,0.18
1103,0.03,0.18
1104,0.03,0.18
1105,0.03,0.18
1106,0.03,0.18
1107,0.03,0.18
1108,0.03,0.18
1109,0.03,0.18
1110,0.03,0.18
1111,0.03,0.18
1112,0.03,0.18
1113,0.03,0.18
1114,0.03,0.18
1115,0.03,0.18
1116,0.03,0.18
1117,0.03,0.18
1118,0.03,0.18
1119,0.03,0.18
1120,0.03,0.18
1121,0.03,0.18
1122,0.03,0.18
1123,0.03,0.18
1124,0.03,0.18
1125,0.03,0.18
1126,0.03,0.18
1127,0.03,0.18
1128,0.03,0.18
1129,0.03,0.18
1130,0.03,0.18
1131,0.03,0.18
1132,0.03,0.18
1133,0.03,0.18
1134,0.03,0.18
1135,0.03,0.18
1136,0.03,0.18
1137,0.03,0.18
1138,0.03,0.18
1139,0.03,0.18
1140,0.03,0.18
1141,0.03,0.18
1142,0.03,0.18
1143,0.03,0.19
1144,0.03,0.19
1145,0.03,0.19
1146,0.03,0.19
1147,0.03,0.19
1148,0.03,0.19
1149,0.03,0.19
1150,0.03,0.19
1151,0.03,0.19
1152,0.03,0.19
1153,0.03,0.19
1154,0.03,0.19
1155,0.03,0.19
1156,0.03,0.18
1157,0.03,0.18
