,r,t,fc
0,0.9000,383.0,0.44
0,0.9000,384.0,0.44
0,0.9000,385.0,0.44
0,0.9000,386.0,0.44
0,0.9000,387.0,0.44
0,0.9000,388.0,0.44
0,0.9000,389.0,0.44
0,0.9000,390.0,0.43
0,0.9000,391.0,0.42
0,0.9000,392.0,0.42
0,0.9000,393.0,0.42
0,0.9000,394.0,0.42
0,0.9000,395.0,0.42
0,0.9000,396.0,0.42
0,0.9000,397.0,0.42
0,0.9000,398.0,0.43
0,0.9000,399.0,0.43
0,0.9000,400.0,0.44
0,0.9000,401.0,0.43
0,0.9000,402.0,0.43
0,0.9000,403.0,0.43
0,0.9000,404.0,0.43
0,0.9000,405.0,0.42
0,0.9000,406.0,0.42
0,0.9000,407.0,0.41
0,0.9000,408.0,0.41
0,0.9000,409.0,0.41
0,0.9000,410.0,0.41
0,0.9000,411.0,0.41
0,0.9000,412.0,0.41
0,0.9000,413.0,0.41
0,0.9000,414.0,0.41
0,0.9000,415.0,0.41
0,0.9000,416.0,0.41
0,0.9000,417.0,0.41
0,0.9000,418.0,0.41
0,0.9000,419.0,0.4
0,0.9000,420.0,0.4
0,0.9000,421.0,0.4
0,0.9000,422.0,0.4
0,0.9000,423.0,0.4
0,0.9000,424.0,0.4
0,0.9000,425.0,0.4
0,0.9000,426.0,0.4
0,0.9000,427.0,0.4
0,0.9000,428.0,0.4
0,0.9000,429.0,0.4
0,0.9000,430.0,0.4
0,0.9000,431.0,0.4
0,0.9000,432.0,0.4
0,0.9000,433.0,0.4
0,0.9000,434.0,0.39
0,0.9000,435.0,0.38
0,0.9000,436.0,0.38
0,0.9000,437.0,0.38
0,0.9000,438.0,0.38
0,0.9000,439.0,0.38
0,0.9000,440.0,0.38
0,0.9000,441.0,0.37
0,0.9000,442.0,0.37
0,0.9000,443.0,0.37
0,0.9000,444.0,0.37
0,0.9000,445.0,0.37
0,0.9000,446.0,0.37
0,0.9000,447.0,0.37
0,0.9000,448.0,0.37
0,0.9000,449.0,0.37
0,0.9000,450.0,0.37
0,0.9000,451.0,0.37
0,0.9000,452.0,0.38
0,0.9000,453.0,0.38
0,0.9000,454.0,0.38
0,0.9000,455.0,0.38
0,0.9000,456.0,0.38
0,0.9000,457.0,0.38
0,0.9000,458.0,0.38
0,0.9000,459.0,0.38
0,0.9000,460.0,0.38
0,0.9000,461.0,0.38
0,0.9000,462.0,0.38
0,0.9000,463.0,0.38
0,0.9000,464.0,0.38
0,0.9000,465.0,0.38
0,0.9000,466.0,0.38
0,0.9000,467.0,0.38
0,0.9000,468.0,0.38
0,0.9000,469.0,0.38
0,0.9000,470.0,0.37
0,0.9000,471.0,0.37
0,0.9000,472.0,0.37
0,0.9000,473.0,0.37
0,0.9000,474.0,0.36
0,0.9000,475.0,0.35
0,0.9000,476.0,0.35
0,0.9000,477.0,0.35
0,0.9000,478.0,0.35
0,0.9000,479.0,0.35
0,0.9000,480.0,0.35
0,0.9000,481.0,0.35
0,0.9000,482.0,0.35
0,0.9000,483.0,0.35
0,0.9000,484.0,0.35
0,0.9000,485.0,0.35
0,0.9000,486.0,0.35
0,0.9000,487.0,0.35
0,0.9000,488.0,0.35
0,0.9000,489.0,0.35
0,0.9000,490.0,0.35
0,0.9000,491.0,0.35
0,0.9000,492.0,0.35
0,0.9000,493.0,0.35
0,0.9000,494.0,0.35
0,0.9000,495.0,0.36
0,0.9000,496.0,0.36
0,0.9000,497.0,0.36
0,0.9000,498.0,0.37
0,0.9000,499.0,0.37
0,0.9000,500.0,0.36
0,0.9000,501.0,0.36
0,0.9000,502.0,0.36
0,0.9000,503.0,0.35
