Episode:99, r:0.8850, Time:704, fc:0.750
Episode:99, r:0.8850, Time:705, fc:0.750
Episode:99, r:0.8850, Time:706, fc:0.750
Episode:99, r:0.8850, Time:707, fc:0.750
Episode:99, r:0.8850, Time:708, fc:0.750
Episode:99, r:0.8850, Time:709, fc:0.750
Episode:99, r:0.8850, Time:710, fc:0.750
Episode:99, r:0.8850, Time:711, fc:0.750
Episode:99, r:0.8850, Time:712, fc:0.750
Episode:99, r:0.8850, Time:713, fc:0.760
Episode:99, r:0.8850, Time:714, fc:0.760
Episode:99, r:0.8850, Time:715, fc:0.750
Episode:99, r:0.8850, Time:716, fc:0.750
Episode:99, r:0.8850, Time:717, fc:0.750
Episode:99, r:0.8850, Time:718, fc:0.750
Episode:99, r:0.8850, Time:719, fc:0.750
Episode:99, r:0.8850, Time:720, fc:0.750
Episode:99, r:0.8850, Time:721, fc:0.750
Episode:99, r:0.8850, Time:722, fc:0.750
Episode:99, r:0.8850, Time:723, fc:0.750
Episode:99, r:0.8850, Time:724, fc:0.750
Episode:99, r:0.8850, Time:725, fc:0.740
Episode:99, r:0.8850, Time:726, fc:0.740
Episode:99, r:0.8850, Time:727, fc:0.740
Episode:99, r:0.8850, Time:728, fc:0.740
Episode:99, r:0.8850, Time:729, fc:0.740
Episode:99, r:0.8850, Time:730, fc:0.740
Episode:99, r:0.8850, Time:731, fc:0.740
Episode:99, r:0.8850, Time:732, fc:0.740
Episode:99, r:0.8850, Time:733, fc:0.740
Episode:99, r:0.8850, Time:734, fc:0.740
Episode:99, r:0.8850, Time:735, fc:0.740
Episode:99, r:0.8850, Time:736, fc:0.750
Episode:99, r:0.8850, Time:737, fc:0.750
Episode:99, r:0.8850, Time:738, fc:0.750
Episode:99, r:0.8850, Time:739, fc:0.750
Episode:99, r:0.8850, Time:740, fc:0.750
Episode:99, r:0.8850, Time:741, fc:0.750
Episode:99, r:0.8850, Time:742, fc:0.750
Episode:99, r:0.8850, Time:743, fc:0.750
Episode:99, r:0.8850, Time:744, fc:0.750
Episode:99, r:0.8850, Time:745, fc:0.750
Episode:99, r:0.8850, Time:746, fc:0.750
Episode:99, r:0.8850, Time:747, fc:0.750
Episode:99, r:0.8850, Time:748, fc:0.750
Episode:99, r:0.8850, Time:749, fc:0.750
Episode:99, r:0.8850, Time:750, fc:0.750
Episode:99, r:0.8850, Time:751, fc:0.750
Episode:99, r:0.8850, Time:752, fc:0.750
Episode:99, r:0.8850, Time:753, fc:0.750
Episode:99, r:0.8850, Time:754, fc:0.750
Episode:99, r:0.8850, Time:755, fc:0.740
Episode:99, r:0.8850, Time:756, fc:0.740
Episode:99, r:0.8850, Time:757, fc:0.740
Episode:99, r:0.8850, Time:758, fc:0.740
Episode:99, r:0.8850, Time:759, fc:0.740
Episode:99, r:0.8850, Time:760, fc:0.740
Episode:99, r:0.8850, Time:761, fc:0.740
Episode:99, r:0.8850, Time:762, fc:0.740
Episode:99, r:0.8850, Time:763, fc:0.740
Episode:99, r:0.8850, Time:764, fc:0.740
Episode:99, r:0.8850, Time:765, fc:0.740
Episode:99, r:0.8850, Time:766, fc:0.740
Episode:99, r:0.8850, Time:767, fc:0.740
Episode:99, r:0.8850, Time:768, fc:0.740
Episode:99, r:0.8850, Time:769, fc:0.740
Episode:99, r:0.8850, Time:770, fc:0.740
Episode:99, r:0.8850, Time:771, fc:0.730
Episode:99, r:0.8850, Time:772, fc:0.730
Episode:99, r:0.8850, Time:773, fc:0.730
Episode:99, r:0.8850, Time:774, fc:0.730
Episode:99, r:0.8850, Time:775, fc:0.730
Episode:99, r:0.8850, Time:776, fc:0.730
Episode:99, r:0.8850, Time:777, fc:0.730
Episode:99, r:0.8850, Time:778, fc:0.730
Episode:99, r:0.8850, Time:779, fc:0.730
Episode:99, r:0.8850, Time:780, fc:0.730
Episode:99, r:0.8850, Time:781, fc:0.730
Episode:99, r:0.8850, Time:782, fc:0.730
Episode:99, r:0.8850, Time:783, fc:0.730
Episode:99, r:0.8850, Time:784, fc:0.730
Episode:99, r:0.8850, Time:785, fc:0.730
Episode:99, r:0.8850, Time:786, fc:0.730
Episode:99, r:0.8850, Time:787, fc:0.730
Episode:99, r:0.8850, Time:788, fc:0.730
Episode:99, r:0.8850, Time:789, fc:0.730
Episode:99, r:0.8850, Time:790, fc:0.730
Episode:99, r:0.8850, Time:791, fc:0.730
Episode:99, r:0.8850, Time:792, fc:0.730
Episode:99, r:0.8850, Time:793, fc:0.730
Episode:99, r:0.8850, Time:794, fc:0.740
Episode:99, r:0.8850, Time:795, fc:0.740
Episode:99, r:0.8850, Time:796, fc:0.740
Episode:99, r:0.8850, Time:797, fc:0.740
Episode:99, r:0.8850, Time:798, fc:0.750
Episode:99, r:0.8850, Time:799, fc:0.750
Episode:99, r:0.8850, Time:800, fc:0.750
Episode:99, r:0.8850, Time:801, fc:0.750
Episode:99, r:0.8850, Time:802, fc:0.750
Episode:99, r:0.8850, Time:803, fc:0.750
Episode:99, r:0.8850, Time:804, fc:0.750
Episode:99, r:0.8850, Time:805, fc:0.750
Episode:99, r:0.8850, Time:806, fc:0.750
Episode:99, r:0.8850, Time:807, fc:0.750
Episode:99, r:0.8850, Time:808, fc:0.750
Episode:99, r:0.8850, Time:809, fc:0.760
Episode:99, r:0.8850, Time:810, fc:0.760
Episode:99, r:0.8850, Time:811, fc:0.760
Episode:99, r:0.8850, Time:812, fc:0.760
Episode:99, r:0.8850, Time:813, fc:0.760
Episode:99, r:0.8850, Time:814, fc:0.760
Episode:99, r:0.8850, Time:815, fc:0.760
Episode:99, r:0.8850, Time:816, fc:0.760
Episode:99, r:0.8850, Time:817, fc:0.760
Episode:99, r:0.8850, Time:818, fc:0.760
Episode:99, r:0.8850, Time:819, fc:0.760
Episode:99, r:0.8850, Time:820, fc:0.760
Episode:99, r:0.8850, Time:821, fc:0.750
Episode:99, r:0.8850, Time:822, fc:0.750
Episode:99, r:0.8850, Time:823, fc:0.750
Episode:99, r:0.8850, Time:824, fc:0.750
Episode:99, r:0.8850, Time:825, fc:0.750
Episode:99, r:0.8850, Time:826, fc:0.750
Episode:99, r:0.8850, Time:827, fc:0.750
Episode:99, r:0.8850, Time:828, fc:0.740
Episode:99, r:0.8850, Time:829, fc:0.740
Episode:99, r:0.8850, Time:830, fc:0.740
Episode:99, r:0.8850, Time:831, fc:0.740
Episode:99, r:0.8850, Time:832, fc:0.740
Episode:99, r:0.8850, Time:833, fc:0.740
Episode:99, r:0.8850, Time:834, fc:0.740
Episode:99, r:0.8850, Time:835, fc:0.740
Episode:99, r:0.8850, Time:836, fc:0.740
Episode:99, r:0.8850, Time:837, fc:0.740
Episode:99, r:0.8850, Time:838, fc:0.740
Episode:99, r:0.8850, Time:839, fc:0.740
Episode:99, r:0.8850, Time:840, fc:0.740
Episode:99, r:0.8850, Time:841, fc:0.740
Episode:99, r:0.8850, Time:842, fc:0.750
Episode:99, r:0.8850, Time:843, fc:0.750
Episode:99, r:0.8850, Time:844, fc:0.760
Episode:99, r:0.8850, Time:845, fc:0.760
Episode:99, r:0.8850, Time:846, fc:0.760
Episode:99, r:0.8850, Time:847, fc:0.760
Episode:99, r:0.8850, Time:848, fc:0.760
Episode:99, r:0.8850, Time:849, fc:0.760
Episode:99, r:0.8850, Time:850, fc:0.760
Episode:99, r:0.8850, Time:851, fc:0.750
Episode:99, r:0.8850, Time:852, fc:0.750
Episode:99, r:0.8850, Time:853, fc:0.750
Episode:99, r:0.8850, Time:854, fc:0.750
Episode:99, r:0.8850, Time:855, fc:0.750
Episode:99, r:0.8850, Time:856, fc:0.750
Episode:99, r:0.8850, Time:857, fc:0.750
Episode:99, r:0.8850, Time:858, fc:0.750
Episode:99, r:0.8850, Time:859, fc:0.750
Episode:99, r:0.8850, Time:860, fc:0.750
Episode:99, r:0.8850, Time:861, fc:0.750
Episode:99, r:0.8850, Time:862, fc:0.750
Episode:99, r:0.8850, Time:863, fc:0.750
Episode:99, r:0.8850, Time:864, fc:0.750
Episode:99, r:0.8850, Time:865, fc:0.750
Episode:99, r:0.8850, Time:866, fc:0.750
Episode:99, r:0.8850, Time:867, fc:0.750
Episode:99, r:0.8850, Time:868, fc:0.750
Episode:99, r:0.8850, Time:869, fc:0.750
Episode:99, r:0.8850, Time:870, fc:0.750
Episode:99, r:0.8850, Time:871, fc:0.750
Episode:99, r:0.8850, Time:872, fc:0.750
Episode:99, r:0.8850, Time:873, fc:0.750
Episode:99, r:0.8850, Time:874, fc:0.750
Episode:99, r:0.8850, Time:875, fc:0.750
Episode:99, r:0.8850, Time:876, fc:0.750
Episode:99, r:0.8850, Time:877, fc:0.750
Episode:99, r:0.8850, Time:878, fc:0.750
Episode:99, r:0.8850, Time:879, fc:0.750
Episode:99, r:0.8850, Time:880, fc:0.750
Episode:99, r:0.8850, Time:881, fc:0.750
Episode:99, r:0.8850, Time:882, fc:0.750
Episode:99, r:0.8850, Time:883, fc:0.750
Episode:99, r:0.8850, Time:884, fc:0.750
Episode:99, r:0.8850, Time:885, fc:0.750
Episode:99, r:0.8850, Time:886, fc:0.760
Episode:99, r:0.8850, Time:887, fc:0.760
Episode:99, r:0.8850, Time:888, fc:0.760
Episode:99, r:0.8850, Time:889, fc:0.760
Episode:99, r:0.8850, Time:890, fc:0.760
Episode:99, r:0.8850, Time:891, fc:0.760
Episode:99, r:0.8850, Time:892, fc:0.770
Episode:99, r:0.8850, Time:893, fc:0.770
Episode:99, r:0.8850, Time:894, fc:0.770
Episode:99, r:0.8850, Time:895, fc:0.770
Episode:99, r:0.8850, Time:896, fc:0.770
Episode:99, r:0.8850, Time:897, fc:0.770
Episode:99, r:0.8850, Time:898, fc:0.780
Episode:99, r:0.8850, Time:899, fc:0.780
Episode:99, r:0.8850, Time:900, fc:0.780
Episode:99, r:0.8850, Time:901, fc:0.780
Episode:99, r:0.8850, Time:902, fc:0.780
Episode:99, r:0.8850, Time:903, fc:0.780
Episode:99, r:0.8850, Time:904, fc:0.790
Episode:99, r:0.8850, Time:905, fc:0.790
Episode:99, r:0.8850, Time:906, fc:0.790
Episode:99, r:0.8850, Time:907, fc:0.790
Episode:99, r:0.8850, Time:908, fc:0.790
Episode:99, r:0.8850, Time:909, fc:0.790
Episode:99, r:0.8850, Time:910, fc:0.790
Episode:99, r:0.8850, Time:911, fc:0.790
Episode:99, r:0.8850, Time:912, fc:0.790
Episode:99, r:0.8850, Time:913, fc:0.790
Episode:99, r:0.8850, Time:914, fc:0.790
Episode:99, r:0.8850, Time:915, fc:0.790
Episode:99, r:0.8850, Time:916, fc:0.790
Episode:99, r:0.8850, Time:917, fc:0.800
Episode:99, r:0.8850, Time:918, fc:0.800
Episode:99, r:0.8850, Time:919, fc:0.800
Episode:99, r:0.8850, Time:920, fc:0.800
Episode:99, r:0.8850, Time:921, fc:0.800
Episode:99, r:0.8850, Time:922, fc:0.800
Episode:99, r:0.8850, Time:923, fc:0.800
Episode:99, r:0.8850, Time:924, fc:0.800
Episode:99, r:0.8850, Time:925, fc:0.800
Episode:99, r:0.8850, Time:926, fc:0.800
Episode:99, r:0.8850, Time:927, fc:0.810
Episode:99, r:0.8850, Time:928, fc:0.810
Episode:99, r:0.8850, Time:929, fc:0.810
Episode:99, r:0.8850, Time:930, fc:0.810
Episode:99, r:0.8850, Time:931, fc:0.810
Episode:99, r:0.8850, Time:932, fc:0.810
Episode:99, r:0.8850, Time:933, fc:0.800
Episode:99, r:0.8850, Time:934, fc:0.800
Episode:99, r:0.8850, Time:935, fc:0.800
Episode:99, r:0.8850, Time:936, fc:0.800
Episode:99, r:0.8850, Time:937, fc:0.800
Episode:99, r:0.8850, Time:938, fc:0.800
Episode:99, r:0.8850, Time:939, fc:0.800
Episode:99, r:0.8850, Time:940, fc:0.800
Episode:99, r:0.8850, Time:941, fc:0.800
Episode:99, r:0.8850, Time:942, fc:0.800
Episode:99, r:0.8850, Time:943, fc:0.800
Episode:99, r:0.8850, Time:944, fc:0.800
Episode:99, r:0.8850, Time:945, fc:0.800
Episode:99, r:0.8850, Time:946, fc:0.790
Episode:99, r:0.8850, Time:947, fc:0.790
Episode:99, r:0.8850, Time:948, fc:0.790
Episode:99, r:0.8850, Time:949, fc:0.790
Episode:99, r:0.8850, Time:950, fc:0.780
Episode:99, r:0.8850, Time:951, fc:0.780
Episode:99, r:0.8850, Time:952, fc:0.780
Episode:99, r:0.8850, Time:953, fc:0.780
Episode:99, r:0.8850, Time:954, fc:0.780
Episode:99, r:0.8850, Time:955, fc:0.780
Episode:99, r:0.8850, Time:956, fc:0.780
Episode:99, r:0.8850, Time:957, fc:0.780
Episode:99, r:0.8850, Time:958, fc:0.780
Episode:99, r:0.8850, Time:959, fc:0.780
Episode:99, r:0.8850, Time:960, fc:0.780
Episode:99, r:0.8850, Time:961, fc:0.780
Episode:99, r:0.8850, Time:962, fc:0.780
Episode:99, r:0.8850, Time:963, fc:0.780
Episode:99, r:0.8850, Time:964, fc:0.790
Episode:99, r:0.8850, Time:965, fc:0.790
Episode:99, r:0.8850, Time:966, fc:0.790
Episode:99, r:0.8850, Time:967, fc:0.790
Episode:99, r:0.8850, Time:968, fc:0.790
Episode:99, r:0.8850, Time:969, fc:0.790
Episode:99, r:0.8850, Time:970, fc:0.790
Episode:99, r:0.8850, Time:971, fc:0.790
Episode:99, r:0.8850, Time:972, fc:0.790
Episode:99, r:0.8850, Time:973, fc:0.800
Episode:99, r:0.8850, Time:974, fc:0.790
Episode:99, r:0.8850, Time:975, fc:0.790
Episode:99, r:0.8850, Time:976, fc:0.790
Episode:99, r:0.8850, Time:977, fc:0.790
Episode:99, r:0.8850, Time:978, fc:0.780
Episode:99, r:0.8850, Time:979, fc:0.780
Episode:99, r:0.8850, Time:980, fc:0.780
Episode:99, r:0.8850, Time:981, fc:0.780
Episode:99, r:0.8850, Time:982, fc:0.790
Episode:99, r:0.8850, Time:983, fc:0.800
Episode:99, r:0.8850, Time:984, fc:0.800
Episode:99, r:0.8850, Time:985, fc:0.790
Episode:99, r:0.8850, Time:986, fc:0.790
Episode:99, r:0.8850, Time:987, fc:0.790
Episode:99, r:0.8850, Time:988, fc:0.790
Episode:99, r:0.8850, Time:989, fc:0.790
Episode:99, r:0.8850, Time:990, fc:0.790
Episode:99, r:0.8850, Time:991, fc:0.790
Episode:99, r:0.8850, Time:992, fc:0.800
Episode:99, r:0.8850, Time:993, fc:0.800
Episode:99, r:0.8850, Time:994, fc:0.800
Episode:99, r:0.8850, Time:995, fc:0.800
Episode:99, r:0.8850, Time:996, fc:0.800
Episode:99, r:0.8850, Time:997, fc:0.800
Episode:99, r:0.8850, Time:998, fc:0.800
Episode:99, r:0.8850, Time:999, fc:0.800
Episode:99, r:0.8850, Time:1000, fc:0.810
Episode:99, r:0.8850, Time:1001, fc:0.810
Episode:99, r:0.8850, Time:1002, fc:0.800
Episode:99, r:0.8850, Time:1003, fc:0.800
Episode:99, r:0.8850, Time:1004, fc:0.790
Episode:99, r:0.8850, Time:1005, fc:0.790
Episode:99, r:0.8850, Time:1006, fc:0.790
Episode:99, r:0.8850, Time:1007, fc:0.790
Episode:99, r:0.8850, Time:1008, fc:0.800
Episode:99, r:0.8850, Time:1009, fc:0.800
Episode:99, r:0.8850, Time:1010, fc:0.800
Episode:99, r:0.8850, Time:1011, fc:0.800
Episode:99, r:0.8850, Time:1012, fc:0.800
Episode:99, r:0.8850, Time:1013, fc:0.800
Episode:99, r:0.8850, Time:1014, fc:0.800
Episode:99, r:0.8850, Time:1015, fc:0.800
Episode:99, r:0.8850, Time:1016, fc:0.800
Episode:99, r:0.8850, Time:1017, fc:0.800
Episode:99, r:0.8850, Time:1018, fc:0.800
Episode:99, r:0.8850, Time:1019, fc:0.800
Episode:99, r:0.8850, Time:1020, fc:0.800
Episode:99, r:0.8850, Time:1021, fc:0.800
Episode:99, r:0.8850, Time:1022, fc:0.800
Episode:99, r:0.8850, Time:1023, fc:0.800
Episode:99, r:0.8850, Time:1024, fc:0.800
Episode:99, r:0.8850, Time:1025, fc:0.800
Episode:99, r:0.8850, Time:1026, fc:0.800
Episode:99, r:0.8850, Time:1027, fc:0.800
Episode:99, r:0.8850, Time:1028, fc:0.800
Episode:99, r:0.8850, Time:1029, fc:0.800
Episode:99, r:0.8850, Time:1030, fc:0.800
Episode:99, r:0.8850, Time:1031, fc:0.800
Episode:99, r:0.8850, Time:1032, fc:0.800
Episode:99, r:0.8850, Time:1033, fc:0.800
Episode:99, r:0.8850, Time:1034, fc:0.800
Episode:99, r:0.8850, Time:1035, fc:0.800
Episode:99, r:0.8850, Time:1036, fc:0.800
Episode:99, r:0.8850, Time:1037, fc:0.800
